,Bus_Station_Name,Location,Postcode
0,Bonnie View Rd/Maroondah Hwy (Croydon North),"-37.78092, 145.288145",3136
1,Primrose Rd/Maroondah Hwy (Croydon North),"-37.774626, 145.292843",3136
2,Exeter Rd/Maroondah Hwy (Croydon North),"-37.770446, 145.295459",3116
3,Maroondah Golf Park/Maroondah Hwy (Chirnside Park),"-37.766346, 145.301775",3116
4,Old Melbourne Rd/Maroondah Hwy (Chirnside Park),"-37.765276, 145.30441",3116
5,Davisson St/Rufus St (Epping),"-37.648974, 145.030824",3076
6,Chirnside Homemaker Centre/Maroondah Hwy (Chirnside Park),"-37.764064, 145.306629",3116
7,High St/Miller St (Preston),"-37.752116, 145.000285",3071
8,William St/Regent St (Preston),"-37.730697, 145.003607",3072
9,Regent St/Spring St (Preston),"-37.729717, 145.00057",3073
10,Rona St/Spring St (Reservoir),"-37.728432, 145.000797",3073
11,Powell St/Spring St (Reservoir),"-37.726689, 145.001083",3073
12,Lalor SC/David St (Lalor),"-37.671738, 145.016776",3075
13,Keith Ave/Greenbrook Dr (Epping),"-37.647681, 145.035392",3076
14,Frankston St/Spring St (Reservoir),"-37.724497, 145.001505",3073
15,Taylor Ave/Spring St (Reservoir),"-37.723374, 145.001705",3073
16,Moore Cres/Spring St (Reservoir),"-37.721376, 145.002916",3073
17,Cleeland St/Spring St (Reservoir),"-37.717963, 145.00573",3073
18,Reservoir Station/Edwardes St (Reservoir),"-37.716439, 145.006236",3073
19,Olive St/Edwardes St (Reservoir),"-37.716212, 145.004495",3073
20,Kelsby St/Edwardes St (Reservoir),"-37.715547, 144.998228",3073
21,Willoughby St/Edwardes St (Reservoir),"-37.715387, 144.996758",3073
22,Gilbert Rd/Edwardes St (Reservoir),"-37.716316, 144.992603",3073
23,Pitt St/Edwardes St (Reservoir),"-37.714453, 144.987991",3073
24,McDonalds Rd/Greenbrook Dr (Epping),"-37.64645, 145.036716",3076
25,Newlands Rd/Edwardes St (Reservoir),"-37.714078, 144.984473",3073
26,Newlands Rd/Henty St (Reservoir),"-37.717437, 144.982771",3073
27,Meadowbank Dr/Furlong Rd (Sunshine North),"-37.761423, 144.822251",3020
28,Sunshine Hospital/Furlong Rd (St Albans),"-37.76073, 144.816005",3021
29,Ironbark St/Furlong Rd (St Albans),"-37.760435, 144.813222",3021
30,Ginifer Station/Mulhall Dr (St Albans),"-37.758146, 144.810769",3021
31,Greenbrook SC/McDonalds Rd (Epping),"-37.645839, 145.040098",3076
32,St Albans Sec Col/Main Rd East (St Albans),"-37.744974, 144.806561",3021
33,Lester Ave/Main Rd East (St Albans),"-37.745422, 144.810304",3021
34,Lyons St/Hyde St (Footscray),"-37.808786, 144.899528",3011
35,Princess St/Hyde St (Footscray),"-37.811247, 144.898084",3013
36,Somerville Rd/Hyde St (Yarraville),"-37.814681, 144.897078",3013
37,Greenview Ct/McDonalds Rd (Epping),"-37.64622, 145.043489",3076
38,Lennox St/Hyde St (Yarraville),"-37.816333, 144.896747",3013
39,204 Hyde St (Yarraville),"-37.817878, 144.896487",3013
40,Kent St/Hyde St (Yarraville),"-37.82016, 144.896105",3013
41,Hyde St/Francis St (Yarraville),"-37.82174, 144.895764",3013
