206 BOURKE STREET,"Victoria, Melbourne, GPS: -37.812733, 144.966947 | phone: Not Available | stores: 16"
ACLAND COURT SHOPPING CENTRE,"Victoria, St Kilda, GPS: -37.868967, 144.980617 | phone: +61 3 9593 9600 | stores: 13"
ALTONA GATE SHOPPING CENTRE,"Victoria, Melbourne, GPS: -37.828989, 144.84627 | phone: 03 9316 2222 | stores: 83"
BALNARRING VILLAGE SHOPPING CENTRE,"Victoria, Balnarring, GPS: -38.373199, 145.12501 | phone: +61 427 116 866 | stores: 29"
BARKLY SQUARE,"Victoria, Brunswick, GPS: -37.775695, 144.962004 | phone: 03 9385 8200 | stores: 46"
BARRABOOL HILLS PLAZA,"Victoria, Geelong, GPS: -38.161872, 144.305826 | phone: +61 3 8562 1136 | stores: 11"
BAYSIDE SHOPPING CENTRE,"Victoria, Frankston, GPS: -38.141951, 145.124068 | phone: +61 3 9771 1700 | stores: 279"
BELLARINE VILLAGE SHOPPING CENTRE,"Victoria, Newcomb, GPS: -38.168784, 144.388547 | phone: 03 9693 7400 | stores: 24"
BELLPOST SHOPPING CENTRE,"Victoria, Geelong, GPS: -38.089309, 144.336645 | phone: Not Available | stores: 10"
BELMONT VILLAGE,"Victoria, Belmont, GPS: -38.170104, 144.349107 | phone: 1300 550 109 | stores: 14"
BENDIGO MARKETPLACE,"Victoria, Bendigo, GPS: -36.765765, 144.280743 | phone: 03 5441 6906 | stores: 100"
BENTONS SQUARE SHOPPING CENTRE,"Victoria, Mornington, GPS: -38.245416, 145.048067 | phone: 03 5973 5331 | stores: 46"
BERWICK MARKETPLACE,"Victoria, Berwick, GPS: -38.02951, 145.346619 | phone: Not Available | stores: 7"
BIRALLEE VILLAGE SHOPPING CENTRE,"Victoria, Wodonga, GPS: -36.127763, 146.86482 | phone: Not Available | stores: 17"
BOURKE STREET MALL,"Victoria, Melbourne, GPS: -37.813538, 144.964386 | phone: Not Available | stores: 40"
BOX HILL CENTRAL,"Victoria, Box Hill, GPS: -37.818677, 145.12179 | phone: 03 9843 3900 | stores: 201"
BRAND SMART PREMIUM OUTLET CENTRE,"Victoria, Nunawading, GPS: -37.819375, 145.1714718 | phone: 03 9894  0811 | stores: 39"
BRANDON PARK SHOPPING CENTRE,"Victoria, Wheelers Hill, GPS: -37.905522, 145.161647 | phone: 03 9560 2065 | stores: 90"
BRAYBROOK SHOPPING CENTRE,"Victoria, Braybrook, GPS: -37.782172, 144.86422 | phone: Not Available | stores: 9"
BRIMBANK CENTRAL SHOPPING CENTRE,"Victoria, Deer Park, GPS: -37.751223, 144.775276 | phone: (03) 9363 5188 | stores: 119"
BROADMEADOWS SHOPPING CENTRE,"Victoria, Broadmeadows, GPS: -37.680244, 144.91953 | phone: 03 9301 0000 | stores: 193"
BULLEEN PLAZA,"Victoria, Bulleen, GPS: -37.76613, 145.091637 | phone: (03) 9852 0011 | stores: 58"
BURNSIDE HUB,"Victoria, Burnside, GPS: -37.75938, 144.753677 | phone: +61 411 534 211 | stores: 19"
