SA2_MAINCODE_2016,SA2_NAME_2016,LGA_CODE_2016,LGA_NAME_2016,RATIO,PERCENTAGE,,,,,
102011042,Woy Woy - Blackwall,11650,Central Coast (C) (NSW),1,100,,,,,
102011043,Wyoming,11650,Central Coast (C) (NSW),1,100,,,,,
102021044,Bateau Bay - Killarney Vale,11650,Central Coast (C) (NSW),1,100,,,,,
102021045,Blue Haven - San Remo,11650,Central Coast (C) (NSW),1,100,,,,,
102021046,Budgewoi - Buff Point - Halekulani,11650,Central Coast (C) (NSW),1,100,,,,,
102021047,Chittaway Bay - Tumbi Umbi,11650,Central Coast (C) (NSW),1,100,,,,,
102021048,Gorokan - Kanwal - Charmhaven,11650,Central Coast (C) (NSW),1,100,,,,,
102021049,Jilliby - Yarramalong,11650,Central Coast (C) (NSW),1,100,,,,,
102021050,Lake Munmorah - Mannering Park,11650,Central Coast (C) (NSW),0.9999999,99.9999901,,,,,
102021051,Ourimbah - Fountaindale,11650,Central Coast (C) (NSW),1,100,,,,,
102021052,Summerland Point - Gwandalan,11650,Central Coast (C) (NSW),1,100,,,,,
102021053,The Entrance,11650,Central Coast (C) (NSW),1,100,,,,,
102021054,Toukley - Norah Head,11650,Central Coast (C) (NSW),1,100,,,,,
102021055,Tuggerah - Kangy Angy,11650,Central Coast (C) (NSW),1,100,,,,,
102021056,Warnervale - Wadalba,11650,Central Coast (C) (NSW),1,100,,,,,
102021057,Wyong,11650,Central Coast (C) (NSW),1,100,,,,,
103011058,Bathurst,10470,Bathurst Regional (A),1,100,,,,,
103011059,Bathurst - East,10470,Bathurst Regional (A),1,100,,,,,
103011060,Bathurst Region,10470,Bathurst Regional (A),0.9094082,90.9408204,,,,,
103011060,Bathurst Region,14870,Lithgow (C),0.0024199,0.2419937,,,,,
103011060,Bathurst Region,16100,Oberon (A),0.0881719,8.8171859,,,,,
103011061,Oberon,16100,Oberon (A),1,100,,,,,
103021062,Condobolin,12900,Forbes (A),0.0091415,0.9141548,,,,,
103021062,Condobolin,14600,Lachlan (A),0.9367375,93.673753,,,,,
103021062,Condobolin,16200,Parkes (A),0.0541209,5.4120922,,,,,
103021063,Cowra,12350,Cowra (A),1,100,,,,,
103021064,Cowra Region,11400,Cabonne (A),0.4016803,40.1680295,,,,,
103021064,Cowra Region,12350,Cowra (A),0.5983197,59.8319705,,,,,
103021065,Forbes,11400,Cabonne (A),0.0752908,7.5290813,,,,,
103021065,Forbes,12900,Forbes (A),0.921279,92.127898,,,,,
103021065,Forbes,14600,Lachlan (A),0.0015305,0.1530466,,,,,
103021065,Forbes,18100,Weddin (A),0.0018997,0.1899741,,,,,
103021066,Grenfell,18100,Weddin (A),1,100,,,,,
103021067,Parkes (NSW),16200,Parkes (A),1,100,,,,,
103021068,Parkes Region,11400,Cabonne (A),0.0117889,1.1788949,,,,,
103021068,Parkes Region,12900,Forbes (A),0.0218108,2.1810779,,,,,
103021068,Parkes Region,16200,Parkes (A),0.9664003,96.6400273,,,,,
103021069,West Wyalong,10800,Bland (A),1,100,,,,,
103031070,Lithgow,14870,Lithgow (C),1,100,,,,,
103031071,Lithgow Region,10470,Bathurst Regional (A),0.0002534,0.0253413,,,,,
103031071,Lithgow Region,14870,Lithgow (C),0.9997466,99.9746587,,,,,
103031072,Mudgee,15270,Mid-Western Regional (A),1,100,,,,,
103031073,Mudgee Region - East,14870,Lithgow (C),0.0002996,0.0299628,,,,,
103031073,Mudgee Region - East,15270,Mid-Western Regional (A),0.9997004,99.9700372,,,,,
103031074,Mudgee Region - West,10470,Bathurst Regional (A),0.0024124,0.2412405,,,,,
103031074,Mudgee Region - West,15270,Mid-Western Regional (A),0.8538555,85.3855511,,,,,
103031074,Mudgee Region - West,18020,Warrumbungle Shire (A),0.1437316,14.3731581,,,,,
103031075,Wollangambe - Wollemi,10900,Blue Mountains (C),0.05,5,,,,,
103031075,Wollangambe - Wollemi,14870,Lithgow (C),0.9,90,,,,,
103031075,Wollangambe - Wollemi,17000,Singleton (A),0.05,5,,,,,
103041076,Blayney,10850,Blayney (A),0.9968593,99.6859337,,,,,
103041076,Blayney,12350,Cowra (A),0.0031407,0.3140663,,,,,
103041077,Orange,16150,Orange (C),1,100,,,,,
103041078,Orange - North,11400,Cabonne (A),0.0100962,1.0096209,,,,,
103041078,Orange - North,16150,Orange (C),0.9899038,98.9903791,,,,,
103041079,Orange Region,11400,Cabonne (A),0.8368503,83.6850344,,,,,
103041079,Orange Region,16150,Orange (C),0.1601485,16.0148535,,,,,
103041079,Orange Region,18230,Western Plains Regional (A),0.0030011,0.3001121,,,,,
104011080,Grafton,11730,Clarence Valley (A),1,100,,,,,
104011081,Grafton Region,11730,Clarence Valley (A),0.9999996,99.9999601,,,,,
104011082,Maclean - Yamba - Iluka,11730,Clarence Valley (A),0.9999999,99.9999937,,,,,
104021083,Bellingen,10600,Bellingen (A),0.9994733,99.9473269,,,,,
104021083,Bellingen,15700,Nambucca (A),0.0005267,0.0526731,,,,,
104021084,Coffs Harbour - North,11800,Coffs Harbour (C),1,100,,,,,
104021085,Coffs Harbour - South,11800,Coffs Harbour (C),1,100,,,,,
104021086,Coramba - Nana Glen - Bucca,11800,Coffs Harbour (C),1,100,,,,,
104021087,Dorrigo,10600,Bellingen (A),0.6912745,69.1274501,,,,,
104021087,Dorrigo,11730,Clarence Valley (A),0.130055,13.0054963,,,,,
104021087,Dorrigo,11800,Coffs Harbour (C),0.1786705,17.8670536,,,,,
104021088,Korora - Emerald Beach,11800,Coffs Harbour (C),1,100,,,,,
104021089,Sawtell - Boambee,11800,Coffs Harbour (C),1,100,,,,,
104021090,Urunga,10600,Bellingen (A),1,100,,,,,
104021091,Woolgoolga - Arrawarra,11800,Coffs Harbour (C),0.9999998,99.9999825,,,,,
105011092,Bourke - Brewarrina,10950,Bogan (A),0.0002338,0.0233761,,,,,
105011092,Bourke - Brewarrina,11150,Bourke (A),0.6702505,67.0250533,,,,,
105011092,Bourke - Brewarrina,11200,Brewarrina (A),0.3295155,32.9515473,,,,,
105011093,Cobar,10950,Bogan (A),0.0016951,0.1695053,,,,,
105011093,Cobar,11750,Cobar (A),0.9983049,99.8304947,,,,,
105011094,Coonamble,12150,Coonamble (A),0.9405544,94.0554428,,,,,
105011094,Coonamble,17950,Warren (A),0.0594456,5.9445572,,,,,
105011095,Nyngan - Warren,10950,Bogan (A),0.5545134,55.4513362,,,,,
105011095,Nyngan - Warren,11200,Brewarrina (A),0.0034552,0.345517,,,,,
105011095,Nyngan - Warren,14600,Lachlan (A),0.0007679,0.0767922,,,,,
105011095,Nyngan - Warren,17950,Warren (A),0.4412635,44.1263546,,,,,
105011096,Walgett - Lightning Ridge,11200,Brewarrina (A),0.0493923,4.9392282,,,,,
105011096,Walgett - Lightning Ridge,12150,Coonamble (A),0.0014659,0.1465892,,,,,
105011096,Walgett - Lightning Ridge,17900,Walgett (A),0.9456242,94.5624243,,,,,
105011096,Walgett - Lightning Ridge,17950,Warren (A),0.0035176,0.3517583,,,,,
105021097,Broken Hill,11250,Broken Hill (C),1,100,,,,,
105021098,Far West,11700,Central Darling (A),0.7411441,74.1144111,,,,,
105021098,Far West,19399,Unincorporated NSW,0.2588559,25.8855889,,,,,
105031099,Coonabarabran,12150,Coonamble (A),0.0024463,0.2446255,,,,,
105031099,Coonabarabran,18020,Warrumbungle Shire (A),0.9975537,99.7553745,,,,,
105031100,Dubbo - East,18230,Western Plains Regional (A),1,100,,,,,
105031101,Dubbo - South,18230,Western Plains Regional (A),1,100,,,,,
105031102,Dubbo - West,18230,Western Plains Regional (A),1,100,,,,,
105031103,Dubbo Region,11400,Cabonne (A),0.018189,1.8189002,,,,,
105031103,Dubbo Region,18230,Western Plains Regional (A),0.981811,98.1810998,,,,,
105031104,Gilgandra,12950,Gilgandra (A),0.9795863,97.9586311,,,,,
105031104,Gilgandra,17950,Warren (A),0.0204137,2.0413689,,,,,
105031105,Narromine,15850,Narromine (A),0.9862232,98.6223167,,,,,
105031105,Narromine,17950,Warren (A),0.0137768,1.3776833,,,,,
105031106,Wellington,11400,Cabonne (A),0.0496405,4.9640508,,,,,
105031106,Wellington,18230,Western Plains Regional (A),0.9503593,95.035926,,,,,
106011107,Branxton - Greta - Pokolbin,11720,Cessnock (C),0.782956,78.2955996,,,,,
106011107,Branxton - Greta - Pokolbin,15050,Maitland (C),0.0229777,2.2977661,,,,,
106011107,Branxton - Greta - Pokolbin,17000,Singleton (A),0.1940663,19.4066343,,,,,
106011108,Cessnock,11720,Cessnock (C),1,100,,,,,
106011109,Cessnock Region,11720,Cessnock (C),1,100,,,,,
106011110,Dungog,12700,Dungog (A),1,100,,,,,
106011111,Kurri Kurri - Abermain,11720,Cessnock (C),0.999074,99.9074026,,,,,
106011111,Kurri Kurri - Abermain,15050,Maitland (C),0.000926,0.0925974,,,,,
106011112,Singleton,17000,Singleton (A),1,100,,,,,
106011113,Singleton Region,17000,Singleton (A),1,100,,,,,
106021114,Maitland,15050,Maitland (C),1,100,,,,,
106021115,Maitland - East,15050,Maitland (C),1,100,,,,,
106021116,Maitland - North,15050,Maitland (C),1,100,,,,,
106021117,Maitland - West,11720,Cessnock (C),0.0053046,0.5304644,,,,,
106021117,Maitland - West,15050,Maitland (C),0.9946954,99.4695356,,,,,
106021118,Thornton - Millers Forest,15050,Maitland (C),1,100,,,,,
106031119,Anna Bay,16400,Port Stephens (A),1,100,,,,,
106031120,Lemon Tree Passage - Tanilba Bay,16400,Port Stephens (A),1,100,,,,,
106031121,Nelson Bay Peninsula,16400,Port Stephens (A),1,100,,,,,
106031122,Raymond Terrace,16400,Port Stephens (A),1,100,,,,,
106031123,Seaham - Woodville,16400,Port Stephens (A),1,100,,,,,
106031124,Tea Gardens - Hawks Nest,15240,Mid-Coast (A),0.9999998,99.9999778,,,,,
106031125,Williamtown - Medowie - Karuah,15240,Mid-Coast (A),0.009701,0.9701041,,,,,
106031125,Williamtown - Medowie - Karuah,16400,Port Stephens (A),0.990299,99.0298959,,,,,
106041126,Muswellbrook,15650,Muswellbrook (A),1,100,,,,,
106041127,Muswellbrook Region,15650,Muswellbrook (A),1,100,,,,,
106041128,Scone,17620,Upper Hunter Shire (A),1,100,,,,,
106041129,Scone Region,14920,Liverpool Plains (A),0.0003811,0.0381115,,,,,
106041129,Scone Region,17620,Upper Hunter Shire (A),0.9996189,99.9618885,,,,,
107011131,Dapto - Avondale,18450,Wollongong (C),1,100,,,,,
107011132,Horsley - Kembla Grange,18450,Wollongong (C),1,100,,,,,
107011133,Port Kembla Industrial,18450,Wollongong (C),1,100,,,,,
107011134,Unanderra - Mount Kembla,18450,Wollongong (C),1,100,,,,,
107011545,Berkeley - Lake Heights - Cringila,18450,Wollongong (C),1,100,,,,,
107011546,Port Kembla - Warrawong,18450,Wollongong (C),1,100,,,,,
107011547,Windang - Primbee,18450,Wollongong (C),1,100,,,,,
107021135,Illawarra Catchment Reserve,18350,Wingecarribee (A),0.0006134,0.0613403,,,,,
107021135,Illawarra Catchment Reserve,18400,Wollondilly (A),0.7669836,76.6983591,,,,,
107021135,Illawarra Catchment Reserve,18450,Wollongong (C),0.232403,23.2403006,,,,,
107031136,Albion Park - Macquarie Pass,16900,Shellharbour (C),1,100,,,,,
107031137,Albion Park Rail,16900,Shellharbour (C),1,100,,,,,
107031138,Kiama,14400,Kiama (A),1,100,,,,,
107031139,Kiama Downs - Minnamurra,14400,Kiama (A),1,100,,,,,
107031140,Kiama Hinterland - Gerringong,14400,Kiama (A),0.9999991,99.9999146,,,,,
107031141,Shellharbour - Flinders,16900,Shellharbour (C),1,100,,,,,
107031142,Shellharbour - Oak Flats,16900,Shellharbour (C),1,100,,,,,
107031143,Warilla,16900,Shellharbour (C),1,100,,,,,
107041144,Balgownie - Fairy Meadow,18450,Wollongong (C),1,100,,,,,
107041145,Corrimal - Tarrawanna - Bellambi,18450,Wollongong (C),1,100,,,,,
107041146,Figtree - Keiraville,18450,Wollongong (C),1,100,,,,,
107041147,Helensburgh,18400,Wollondilly (A),0.0031923,0.319231,,,,,
107041147,Helensburgh,18450,Wollongong (C),0.9968075,99.6807453,,,,,
107041148,Thirroul - Austinmer - Coalcliff,18450,Wollongong (C),1,100,,,,,
107041150,Woonona - Bulli - Russell Vale,18450,Wollongong (C),1,100,,,,,
107041548,Wollongong - East,18450,Wollongong (C),1,100,,,,,
107041549,Wollongong - West,18450,Wollongong (C),1,100,,,,,
108011151,Bulahdelah - Stroud,15240,Mid-Coast (A),1,100,,,,,
108011152,Forster,15240,Mid-Coast (A),1,100,,,,,
108011153,Forster-Tuncurry Region,15240,Mid-Coast (A),1,100,,,,,
108011154,Tuncurry,15240,Mid-Coast (A),1,100,,,,,
108021155,Kempsey,14350,Kempsey (A),1,100,,,,,
108021156,Kempsey Region,10130,Armidale Regional (A),0.0060375,0.6037477,,,,,
108021156,Kempsey Region,14350,Kempsey (A),0.9939625,99.3962523,,,,,
108021157,Macksville - Scotts Head,15700,Nambucca (A),1,100,,,,,
108021158,Nambucca Heads,15700,Nambucca (A),1,100,,,,,
108021159,Nambucca Heads Region,10600,Bellingen (A),0.0002731,0.0273068,,,,,
108021159,Nambucca Heads Region,15700,Nambucca (A),0.9997269,99.9726932,,,,,
108021160,South West Rocks,14350,Kempsey (A),1,100,,,,,
108031161,Lord Howe Island,19399,Unincorporated NSW,1,100,,,,,
108041162,Laurieton - Bonny Hills,16380,Port Macquarie-Hastings (A),1,100,,,,,
108041163,Port Macquarie - East,16380,Port Macquarie-Hastings (A),1,100,,,,,
108041164,Port Macquarie - West,16380,Port Macquarie-Hastings (A),1,100,,,,,
108041165,Port Macquarie Region,15240,Mid-Coast (A),0.0025812,0.2581199,,,,,
108041165,Port Macquarie Region,16380,Port Macquarie-Hastings (A),0.9974188,99.7418801,,,,,
108041166,Wauchope,16380,Port Macquarie-Hastings (A),1,100,,,,,
108051167,Gloucester,15240,Mid-Coast (A),1,100,,,,,
108051168,Old Bar - Manning Point - Red Head,15240,Mid-Coast (A),1,100,,,,,
108051169,Taree,15240,Mid-Coast (A),1,100,,,,,
108051170,Taree Region,15240,Mid-Coast (A),0.9999999,99.9999913,,,,,
108051171,Wingham,15240,Mid-Coast (A),1,100,,,,,
109011172,Albury - East,10050,Albury (C),1,100,,,,,
109011173,Albury - North,10050,Albury (C),1,100,,,,,
109011174,Albury - South,10050,Albury (C),1,100,,,,,
109011175,Albury Region,10050,Albury (C),0.1150024,11.5002369,,,,,
109011175,Albury Region,13340,Greater Hume Shire (A),0.8836184,88.3618365,,,,,
109011175,Albury Region,14950,Lockhart (A),0.0013793,0.1379266,,,,,
109011176,Lavington,10050,Albury (C),1,100,,,,,
109021177,Hay,11600,Carrathool (A),0.0136855,1.3685517,,,,,
109021177,Hay,13850,Hay (A),0.9863145,98.6314483,,,,,
109021178,Wentworth - Buronga,18200,Wentworth (A),1,100,,,,,
109021179,Wentworth-Balranald Region,10300,Balranald (A),0.6236957,62.3695717,,,,,
109021179,Wentworth-Balranald Region,15520,Murray River (A),0.1466417,14.6641712,,,,,
109021179,Wentworth-Balranald Region,18200,Wentworth (A),0.2296626,22.9662571,,,,,
109031180,Corowa,12870,Federation (A),1,100,,,,,
109031181,Corowa Region,12870,Federation (A),0.9732632,97.326318,,,,,
109031181,Corowa Region,13340,Greater Hume Shire (A),0.0264294,2.6429363,,,,,
109031181,Corowa Region,14950,Lockhart (A),0.0003075,0.0307458,,,,,
109031182,Deniliquin,12730,Edward River (A),1,100,,,,,
109031183,Deniliquin Region,12730,Edward River (A),0.2264514,22.645139,,,,,
109031183,Deniliquin Region,15520,Murray River (A),0.7735486,77.354861,,,,,
109031184,Moama,15520,Murray River (A),1,100,,,,,
109031185,Tocumwal - Finley - Jerilderie,10650,Berrigan (A),0.8673753,86.7375286,,,,,
109031185,Tocumwal - Finley - Jerilderie,15560,Murrumbidgee (A),0.1326247,13.2624714,,,,,
110011186,Armidale,10130,Armidale Regional (A),1,100,,,,,
110011187,Armidale Region - North,10130,Armidale Regional (A),0.9979017,99.7901705,,,,,
110011187,Armidale Region - North,17650,Uralla (A),0.0020983,0.2098295,,,,,
110011188,Armidale Region - South,10130,Armidale Regional (A),0.0780145,7.8014483,,,,,
110011188,Armidale Region - South,17310,Tamworth Regional (A),0.0053343,0.5334297,,,,,
110011188,Armidale Region - South,17650,Uralla (A),0.9166512,91.665122,,,,,
110011189,Walcha,17310,Tamworth Regional (A),0.053275,5.3275009,,,,,
110011189,Walcha,17850,Walcha (A),0.946725,94.6724991,,,,,
110021190,Glen Innes,13010,Glen Innes Severn (A),1,100,,,,,
110021191,Inverell,14200,Inverell (A),1,100,,,,,
110021192,Inverell Region - East,10130,Armidale Regional (A),0.23291,23.2909966,,,,,
110021192,Inverell Region - East,13660,Gwydir (A),0.0005682,0.0568248,,,,,
110021192,Inverell Region - East,14200,Inverell (A),0.6631331,66.3133092,,,,,
110021192,Inverell Region - East,17310,Tamworth Regional (A),0.0043553,0.4355303,,,,,
110021192,Inverell Region - East,17650,Uralla (A),0.0990334,9.9033392,,,,,
110021193,Inverell Region - West,13660,Gwydir (A),0.7901319,79.0131929,,,,,
110021193,Inverell Region - West,14200,Inverell (A),0.2098679,20.9867893,,,,,
110021194,Tenterfield,17400,Tenterfield (A),1,100,,,,,
110031195,Moree,15300,Moree Plains (A),1,100,,,,,
110031196,Moree Region,13660,Gwydir (A),0.0933336,9.3333595,,,,,
110031196,Moree Region,15300,Moree Plains (A),0.9066664,90.6666405,,,,,
110031197,Narrabri,15750,Narrabri (A),1,100,,,,,
110031198,Narrabri Region,15750,Narrabri (A),0.9999998,99.9999792,,,,,
110041199,Gunnedah,13550,Gunnedah (A),1,100,,,,,
110041200,Gunnedah Region,13550,Gunnedah (A),0.7370634,73.7063439,,,,,
110041200,Gunnedah Region,15750,Narrabri (A),0.2629366,26.2936561,,,,,
110041201,Quirindi,14920,Liverpool Plains (A),1,100,,,,,
110041202,Tamworth - East,17310,Tamworth Regional (A),1,100,,,,,
110041203,Tamworth - North,17310,Tamworth Regional (A),1,100,,,,,
110041204,Tamworth - West,17310,Tamworth Regional (A),1,100,,,,,
110041205,Tamworth Region,13660,Gwydir (A),0.0004037,0.0403694,,,,,
110041205,Tamworth Region,17310,Tamworth Regional (A),0.9995963,99.9596306,,,,,
111011206,Belmont - Bennetts Green,14650,Lake Macquarie (C),1,100,,,,,
111011207,Belmont South - Blacksmiths,14650,Lake Macquarie (C),1,100,,,,,
111011208,Charlestown - Dudley,14650,Lake Macquarie (C),1,100,,,,,
111011209,Glendale - Cardiff - Hillsborough,14650,Lake Macquarie (C),0.976572,97.6572024,,,,,
111011209,Glendale - Cardiff - Hillsborough,15900,Newcastle (C),0.023428,2.3427976,,,,,
111011210,Mount Hutton - Windale,14650,Lake Macquarie (C),1,100,,,,,
111011211,Redhead,14650,Lake Macquarie (C),1,100,,,,,
111011212,Swansea - Caves Beach,14650,Lake Macquarie (C),1,100,,,,,
111011213,Valentine - Eleebana,14650,Lake Macquarie (C),1,100,,,,,
111011214,Warners Bay - Boolaroo,14650,Lake Macquarie (C),1,100,,,,,
111021215,Bolton Point - Teralba,14650,Lake Macquarie (C),1,100,,,,,
111021216,Bonnells Bay - Silverwater,14650,Lake Macquarie (C),1,100,,,,,
111021217,Edgeworth - Cameron Park,14650,Lake Macquarie (C),0.9999999,99.9999912,,,,,
111021218,Morisset - Cooranbong,14650,Lake Macquarie (C),1,100,,,,,
111021219,Toronto - Awaba,14650,Lake Macquarie (C),1,100,,,,,
111021220,Wangi Wangi - Rathmines,14650,Lake Macquarie (C),1,100,,,,,
111021221,West Wallsend - Barnsley - Killingworth,14650,Lake Macquarie (C),1,100,,,,,
111031222,Adamstown - Kotara,14650,Lake Macquarie (C),0.1587134,15.8713355,,,,,
111031222,Adamstown - Kotara,15900,Newcastle (C),0.8412866,84.1286645,,,,,
111031223,Beresfield - Hexham,15050,Maitland (C),0.3754163,37.5416331,,,,,
111031223,Beresfield - Hexham,15900,Newcastle (C),0.6245837,62.4583669,,,,,
111031224,Hamilton - Broadmeadow,15900,Newcastle (C),1,100,,,,,
111031225,Lambton - New Lambton,15900,Newcastle (C),1,100,,,,,
111031226,Maryland - Fletcher - Minmi,15900,Newcastle (C),0.9999999,99.9999911,,,,,
111031227,Mayfield - Warabrook,15900,Newcastle (C),1,100,,,,,
111031228,Merewether - The Junction,15900,Newcastle (C),1,100,,,,,
111031229,Newcastle - Cooks Hill,15900,Newcastle (C),1,100,,,,,
111031230,Newcastle Port - Kooragang,15900,Newcastle (C),1,100,,,,,
111031231,Shortland - Jesmond,15900,Newcastle (C),1,100,,,,,
111031232,Stockton - Fullerton Cove,15900,Newcastle (C),0.6854594,68.5459402,,,,,
111031232,Stockton - Fullerton Cove,16400,Port Stephens (A),0.3145406,31.4540598,,,,,
111031233,Wallsend - Elermore Vale,14650,Lake Macquarie (C),0.0149685,1.496848,,,,,
111031233,Wallsend - Elermore Vale,15900,Newcastle (C),0.9850315,98.503152,,,,,
111031234,Waratah - North Lambton,15900,Newcastle (C),1,100,,,,,
111031235,Wickham - Carrington - Tighes Hill,15900,Newcastle (C),1,100,,,,,
112011236,Ballina,10250,Ballina (A),1,100,,,,,
112011237,Ballina Region,10250,Ballina (A),1,100,,,,,
112011238,Bangalow,11350,Byron (A),1,100,,,,,
112011239,Brunswick Heads - Ocean Shores,11350,Byron (A),1,100,,,,,
112011240,Byron Bay,11350,Byron (A),1,100,,,,,
112011241,Evans Head,14850,Lismore (C),0.0186444,1.8644428,,,,,
112011241,Evans Head,16610,Richmond Valley (A),0.9813556,98.1355572,,,,,
112011242,Lennox Head - Skennars Head,10250,Ballina (A),1,100,,,,,
112011243,Mullumbimby,11350,Byron (A),1,100,,,,,
112021244,Casino,16610,Richmond Valley (A),1,100,,,,,
112021245,Casino Region,14550,Kyogle (A),0.2390746,23.9074605,,,,,
112021245,Casino Region,16610,Richmond Valley (A),0.7609248,76.0924814,,,,,
112021246,Goonellabah,14850,Lismore (C),1,100,,,,,
112021247,Kyogle,14550,Kyogle (A),1,100,,,,,
112021248,Lismore,14850,Lismore (C),1,100,,,,,
112021249,Lismore Region,10250,Ballina (A),0.0048746,0.4874576,,,,,
112021249,Lismore Region,11350,Byron (A),0.0117481,1.1748131,,,,,
112021249,Lismore Region,14550,Kyogle (A),0.0045361,0.4536137,,,,,
112021249,Lismore Region,14850,Lismore (C),0.9743051,97.4305087,,,,,
112021249,Lismore Region,16610,Richmond Valley (A),0.0045361,0.4536069,,,,,
112031250,Kingscliff - Fingal Head,17550,Tweed (A),1,100,,,,,
112031251,Murwillumbah,17550,Tweed (A),1,100,,,,,
112031252,Murwillumbah Region,17550,Tweed (A),1,100,,,,,
112031253,Pottsville,17550,Tweed (A),1,100,,,,,
112031254,Tweed Heads,17550,Tweed (A),1,100,,,,,
112031550,Banora Point,17550,Tweed (A),1,100,,,,,
112031551,Terranora - North Tumblegum,17550,Tweed (A),1,100,,,,,
112031552,Tweed Heads South,17550,Tweed (A),1,100,,,,,
113011256,Griffith (NSW),13450,Griffith (C),1,100,,,,,
113011257,Griffith Region,10800,Bland (A),0.0013401,0.1340097,,,,,
